Group,Project Structure,Added Gunnar,Made Gunnar Proj Admin,WP for bike station location,WP for finding suppliers,Child WP for station supplier,Correct person hours,Child WP for bike supplier,Correct person hours,Added Deliah as admin,Wps,Require Relation,Added ML as admin,Added WP,Added Cost
16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
12,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
16,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
